SOAK_WARMUP index=0 ms=7395.522 fps=10.817 mips=60.657 frames=80 instructions=448586950 events=79 timers=77 timeout=false heap_after=3247296
SOAK_WARMUP index=1 ms=7959.586 fps=10.051 mips=56.358 frames=80 instructions=448586950 events=79 timers=77 timeout=false heap_after=2975712
SOAK_WARMUP index=2 ms=7947.895 fps=10.066 mips=56.441 frames=80 instructions=448586950 events=79 timers=77 timeout=false heap_after=2975712
SOAK_CYCLE index=0 ms=10058.423 fps=7.954 mips=44.598 frames=80 instructions=448586950 events=79 timers=77 timeout=false heap_after=2976848 premeasure_drift=5208
SOAK_CYCLE index=1 ms=8393.125 fps=9.532 mips=53.447 frames=80 instructions=448586950 events=79 timers=77 timeout=false heap_after=2977352 premeasure_drift=5712
SOAK_CYCLE index=2 ms=8365.703 fps=9.563 mips=53.622 frames=80 instructions=448586950 events=79 timers=77 timeout=false heap_after=2977488 premeasure_drift=5848
SOAK_CYCLE index=3 ms=7544.092 fps=10.604 mips=59.462 frames=80 instructions=448586950 events=79 timers=77 timeout=false heap_after=2977632 premeasure_drift=5992
SOAK_CYCLE index=4 ms=7803.243 fps=10.252 mips=57.487 frames=80 instructions=448586950 events=79 timers=77 timeout=false heap_after=2977896 premeasure_drift=6256
SOAK_CYCLE index=5 ms=8549.022 fps=9.358 mips=52.472 frames=80 instructions=448586950 events=79 timers=77 timeout=false heap_after=2977984 premeasure_drift=6344
SOAK_CYCLE index=6 ms=8887.696 fps=9.001 mips=50.473 frames=80 instructions=448586950 events=79 timers=77 timeout=false heap_after=2978072 premeasure_drift=6432
SOAK_CYCLE index=7 ms=7844.634 fps=10.198 mips=57.184 frames=80 instructions=448586950 events=79 timers=77 timeout=false heap_after=2978160 premeasure_drift=6520
SOAK_CYCLE index=8 ms=7483.179 fps=10.691 mips=59.946 frames=80 instructions=448586950 events=79 timers=77 timeout=false heap_after=2978248 premeasure_drift=6608
SOAK_CYCLE index=9 ms=7342.495 fps=10.895 mips=61.095 frames=80 instructions=448586950 events=79 timers=77 timeout=false heap_after=2978336 premeasure_drift=6696
