metric	value
runtime_version	0.8.8.4
candidate_jar_sha256	c3eb873d53decc3e37049e9c06d93e3b737d2f2eee33306c01e5a7271f0cb771
vxp_sha256	9e7ce08d33f5f6caccf446a1ca6db4ee91c39eacd38b05f0fbf234b9cb041b85
formal_phases	6
formal_cycles	34
frames_per_cycle	20
total_frames	680
total_guest_instructions	3726668872
signature	20/109607908/19/17/false
median_fps	5.613
min_fps	3.745
max_fps	6.116
p95_fps	6.095
median_mips	30.762
min_mips	20.525
max_mips	33.516
runtime_timeouts	0
crashes	0
oom	0
max_steady_heap_drift_bytes	1352
heap_drift_limit_bytes	33554432
result	PASS
